,f,x1,x2,y1,y2,dx,dy,m
0,../data/20180108_htl_glc_sc11_mmzm.czi,760.5897435897435,616.3333333333334,738.9371428571428,215.41714285714286,-144.25641025641016,-523.52,3.6290934944898705
1,../data/20180112_htlglc_tl_sc19_mmzp.czi,276.11538461538464,771.1282051282051,718.2057142857143,638.7657142857142,495.01282051282044,-79.44000000000005,-0.16048069203076856
2,../data/20180110_htl_glc_sc14_mmzp.czi,199.51282051282053,415.03846153846155,692.1942857142857,246.42285714285714,215.52564102564102,-445.77142857142854,-2.0682988179508315
3,../data/20180110_htl_glc-Create Image Subset-02_sc11_htl.czi,759.3717948717949,256.85897435897436,703.1085714285714,727.1542857142857,-502.51282051282055,24.045714285714325,-0.04785094688962438
4,../data/20180112_htlglc_tl_sc11_mmzp.czi,716.9487179487179,624.2820512820513,734.3657142857143,232.13714285714286,-92.66666666666663,-502.2285714285714,5.419732785200413
5,../data/20180110_htl_glc_sc15_mmzm.czi,303.9871794871795,299.55128205128204,705.6342857142857,211.0857142857143,-4.435897435897459,-494.54857142857145,111.48782824112246
6,../data/20180110_htl_glc-Create Image Subset-01_sc10_wt.czi,207.39743589743588,705.8076923076923,386.7314285714286,360.1485714285714,498.41025641025635,-26.582857142857165,-0.05333529316655158
7,../data/20180108_htl_glc_sc9_mmzp.czi,442.0897435897436,297.79487179487177,834.8,329.30285714285714,-144.29487179487182,-505.4971428571428,3.50322320238624
8,../data/20180112_htlglc_tl_sc4_resille.czi,506.02564102564105,266.0897435897436,824.16,442.8228571428571,-239.93589743589746,-381.33714285714285,1.589329262241899
9,../data/20180110_htl_glc_sc6_mmzm.czi,519.2307692307693,239.82051282051282,836.2628571428571,493.09714285714284,-279.41025641025647,-343.1657142857143,1.2281786599195057
10,../data/20180108_htl_glc_sc2_mmzm_wp.czi,469.7307692307692,821.3461538461538,779.9542857142857,446.4114285714286,351.6153846153846,-333.5428571428571,-0.9486014313841922
